n_high,high_fraction,n_edges,components,significant_components,largest_component_size,largest_component_share,isolated_share,endpoint_distance,path_length,path_hops,connected_region_supported,replicate,threshold,radius,rsm_r2
667,0.03335,4662,76,26,48,0.07196401799100449,0.017991004497751123,0.11703311713208762,0.20028582982859858,4,False,0,0.95,0.06,0.8105898913292042
667,0.03335,5539,59,22,80,0.1199400299850075,0.014992503748125937,0.18984147457323297,0.22873387386007385,6,False,0,0.95,0.08,0.8105898913292042
667,0.03335,6342,36,14,119,0.17841079460269865,0.005997001499250375,0.3105396081103255,0.41165907972854043,6,False,0,0.95,0.1,0.8105898913292042
3106,0.1553,26494,248,25,124,0.03992273019961365,0.014488087572440437,0.09253349244730358,0.14343971473794992,7,False,1,0.8,0.04,0.819387431994744
3106,0.1553,29759,186,29,220,0.07083065035415326,0.0103026400515132,0.19102840785172165,0.299980332145863,7,False,1,0.8,0.06,0.819387431994744
3106,0.1553,32686,126,29,262,0.08435286542176433,0.005795235028976175,0.1947937488007979,0.2559032385235948,5,False,1,0.8,0.08,0.819387431994744
3106,0.1553,35061,76,29,443,0.14262717321313587,0.0025756600128783,0.3317741861164379,0.47888568199391207,7,False,1,0.8,0.1,0.819387431994744
2038,0.1019,14639,204,28,72,0.03532875368007851,0.01619234543670265,0.04504284332407635,0.06518018529978024,3,False,1,0.85,0.04,0.819387431994744
2038,0.1019,17140,152,33,99,0.04857703631010795,0.01226692836113837,0.19639588363445795,0.244026557439752,6,False,1,0.85,0.06,0.819387431994744
2038,0.1019,19602,115,29,236,0.11579980372914622,0.009813542688910697,0.20720108623235148,0.3872815740553155,7,False,1,0.85,0.08,0.819387431994744
2038,0.1019,21505,65,29,236,0.11579980372914622,0.002944062806673209,0.20720108623235148,0.3872815740553155,7,False,1,0.85,0.1,0.819387431994744
1357,0.06785,8839,159,32,38,0.02800294767870302,0.018422991893883568,0.11175265138137126,0.12406317126486432,4,False,1,0.9,0.04,0.819387431994744
1357,0.06785,10541,130,28,110,0.08106116433308769,0.01694915254237288,0.19011251438480092,0.28109539307312104,7,False,1,0.9,0.06,0.819387431994744
1357,0.06785,12031,97,22,162,0.11938098747236552,0.010316875460574797,0.20594703036139625,0.3733933421193638,6,False,1,0.9,0.08,0.819387431994744
1357,0.06785,13138,63,25,173,0.12748710390567428,0.004421518054532056,0.3105396081103255,0.4251895472946976,7,False,1,0.9,0.1,0.819387431994744
593,0.02965,2975,97,37,26,0.04384485666104553,0.03372681281618887,0.027138400531912032,0.03040941272246563,2,False,1,0.95,0.04,0.819387431994744
593,0.02965,3620,84,33,27,0.045531197301854974,0.02866779089376054,0.08084248542531294,0.09626598302996117,2,False,1,0.95,0.06,0.819387431994744
593,0.02965,4207,67,25,87,0.1467116357504216,0.02023608768971332,0.20190190591396348,0.2848427420829192,5,False,1,0.95,0.08,0.819387431994744
593,0.02965,4864,51,21,157,0.26475548060708265,0.01011804384485666,0.3490487781128577,0.49086370696374704,7,False,1,0.95,0.1,0.819387431994744
3156,0.1578,27801,213,26,140,0.044359949302915085,0.007287705956907478,0.09253349244730358,0.14304348368064596,7,False,2,0.8,0.04,0.8429952665816012
3156,0.1578,30782,158,31,226,0.07160963244613434,0.004435994930291508,0.19685489251478222,0.27073486879291475,7,False,2,0.8,0.06,0.8429952665816012
3156,0.1578,33734,105,28,258,0.0817490494296578,0.0025348542458808617,0.19685489251478222,0.2450171736735179,5,False,2,0.8,0.08,0.8429952665816012
3156,0.1578,35710,66,26,473,0.14987325728770595,0.0012674271229404308,0.32021794785252505,0.8428399258363911,15,False,2,0.8,0.1,0.8429952665816012
2236,0.1118,17480,186,25,54,0.024150268336314847,0.008050089445438283,0.033226792684260036,0.03716845899088356,3,False,2,0.85,0.04,0.8429952665816012
2236,0.1118,20050,138,31,166,0.0742397137745975,0.005813953488372093,0.1947937488007979,0.2445657280610992,6,False,2,0.85,0.06,0.8429952665816012
2236,0.1118,22690,93,28,244,0.10912343470483005,0.0026833631484794273,0.20720108623235148,0.38763348666854414,7,False,2,0.85,0.08,0.8429952665816012
2236,0.1118,24439,60,25,264,0.11806797853309481,0.0017889087656529517,0.3667825270436168,0.5182727653445947,7,False,2,0.85,0.1,0.8429952665816012
1431,0.07155,9628,156,29,49,0.03424178895877009,0.012578616352201259,0.04035130367287217,0.0415243418637166,2,False,2,0.9,0.04,0.8429952665816012
1431,0.07155,11246,124,26,103,0.07197763801537387,0.011180992313067784,0.19011251438480092,0.28107483223717583,7,False,2,0.9,0.06,0.8429952665816012
1431,0.07155,13138,85,24,151,0.10552061495457722,0.005590496156533892,0.19646402948376193,0.3058550658928557,5,False,2,0.9,0.08,0.8429952665816012
1431,0.07155,14832,53,20,206,0.14395527603074773,0.001397624039133473,0.3105396081103255,0.42537065590065404,7,False,2,0.9,0.1,0.8429952665816012
663,0.03315,3552,98,36,34,0.05128205128205128,0.02865761689291101,0.012416910091820013,0.014839307657754805,2,False,2,0.95,0.04,0.8429952665816012
663,0.03315,4373,84,31,50,0.07541478129713423,0.027149321266968326,0.11826385083090604,0.20512972905417898,4,False,2,0.95,0.06,0.8429952665816012
663,0.03315,5050,65,27,81,0.12217194570135746,0.0196078431372549,0.14110051362628953,0.22594039556794362,6,False,2,0.95,0.08,0.8429952665816012
663,0.03315,5771,45,19,86,0.1297134238310709,0.012066365007541479,0.2543360817825288,0.36457002461289223,5,False,2,0.95,0.1,0.8429952665816012
3119,0.15595,27770,218,27,104,0.03334402051939724,0.008656620711766592,0.11454027089195087,0.17154295366106723,6,False,3,0.8,0.04,0.8141504092166953
3119,0.15595,30579,164,30,190,0.060916960564283425,0.0054504648925937805,0.16617568622758463,0.2662095252479175,9,False,3,0.8,0.06,0.8141504092166953
3119,0.15595,33516,108,28,303,0.0971465213209362,0.0025649246553382495,0.22569733296077227,0.4345524466923539,7,False,3,0.8,0.08,0.8141504092166953
3119,0.15595,35280,66,29,516,0.1654376402693171,0.0009618467457518436,0.37771733979018196,0.5801372527195797,8,False,3,0.8,0.1,0.8141504092166953
2199,0.10995,18191,178,35,55,0.02501136880400182,0.010004547521600727,0.033226792684260036,0.03716845899088356,3,False,3,0.85,0.04,0.8141504092166953
2199,0.10995,20201,136,37,113,0.05138699408822192,0.0050022737608003635,0.19321370180810857,0.2562460058408289,6,False,3,0.85,0.06,0.8141504092166953
2199,0.10995,22569,94,33,218,0.09913597089586175,0.0031832651205093224,0.2705715518061285,0.35328591096393136,6,False,3,0.85,0.08,0.8141504092166953
2199,0.10995,23897,69,32,256,0.11641655297862664,0.0018190086402910413,0.3667825270436168,0.5540469824878845,8,False,3,0.85,0.1,0.8141504092166953
1517,0.07585,11309,146,33,49,0.032300593276203035,0.01120632827949901,0.04035130367287217,0.0415243418637166,2,False,3,0.9,0.04,0.8141504092166953
1517,0.07585,13033,119,30,112,0.07382992748846408,0.01054713249835201,0.19011251438480092,0.28151393464607793,7,False,3,0.9,0.06,0.8141504092166953
1517,0.07585,14832,82,24,196,0.12920237310481214,0.007251153592617007,0.20720108623235148,0.3207089019814471,6,False,3,0.9,0.08,0.8141504092166953
1517,0.07585,15994,63,24,196,0.12920237310481214,0.005273566249176005,0.20720108623235148,0.31957020033755923,6,False,3,0.9,0.1,0.8141504092166953
678,0.0339,3849,105,32,35,0.051622418879056046,0.03687315634218289,0.012416910091820013,0.014839307657754805,2,False,3,0.95,0.04,0.8141504092166953
678,0.0339,4409,82,31,44,0.06489675516224189,0.029498525073746312,0.18947366024624046,0.28653121693653083,6,False,3,0.95,0.06,0.8141504092166953
678,0.0339,5272,59,25,76,0.11209439528023599,0.022123893805309734,0.20911127631574739,0.3828197991728918,6,False,3,0.95,0.08,0.8141504092166953
678,0.0339,6271,41,16,114,0.168141592920354,0.017699115044247787,0.3105396081103255,0.45200978201192255,6,False,3,0.95,0.1,0.8141504092166953
2952,0.1476,24672,225,28,64,0.02168021680216802,0.009485094850948509,0.09253349244730358,0.138351773648902,6,False,4,0.8,0.04,0.8251302522335521
2952,0.1476,27537,172,33,152,0.051490514905149054,0.007791327913279133,0.19102840785172165,0.29662063587913295,7,False,4,0.8,0.06,0.8251302522335521
2952,0.1476,30402,117,32,275,0.09315718157181571,0.003048780487804878,0.2544527308805055,0.40797488145514726,9,False,4,0.8,0.08,0.8251302522335521
2952,0.1476,32968,62,28,580,0.19647696476964768,0.0013550135501355014,0.487024557979969,1.2596537365452487,18,False,4,0.8,0.1,0.8251302522335521
2187,0.10935,17106,190,31,55,0.025148605395518976,0.00823045267489712,0.033226792684260036,0.03716845899088356,3,False,4,0.85,0.04,0.8251302522335521
2187,0.10935,19235,148,38,86,0.039323273891175126,0.006401463191586648,0.17111704083018867,0.254213721031575,7,False,4,0.85,0.06,0.8251302522335521
2187,0.10935,21726,109,33,223,0.10196616369455876,0.004572473708276178,0.20720108623235148,0.34469167739309253,7,False,4,0.85,0.08,0.8251302522335521
2187,0.10935,24205,64,29,277,0.12665752171925013,0.001828989483310471,0.25730217422964347,0.5317732293960324,8,False,4,0.85,0.1,0.8251302522335521
1425,0.07125,9699,160,29,49,0.0343859649122807,0.016842105263157894,0.04035130367287217,0.0415243418637166,2,False,4,0.9,0.04,0.8251302522335521
1425,0.07125,11308,123,28,102,0.07157894736842105,0.011929824561403509,0.18964258881265722,0.2779421310341024,6,False,4,0.9,0.06,0.8251302522335521
1425,0.07125,13123,90,28,167,0.11719298245614035,0.008421052631578947,0.26769666249075,0.42216969906386914,7,False,4,0.9,0.08,0.8251302522335521
1425,0.07125,14729,59,23,206,0.14456140350877192,0.004912280701754386,0.31261057331763004,0.4460729513461718,7,False,4,0.9,0.1,0.8251302522335521
643,0.03215,4038,103,32,43,0.06687402799377916,0.05443234836702955,0.03745105655229791,0.0380848742906067,2,False,4,0.95,0.04,0.8251302522335521
643,0.03215,4422,83,31,44,0.06842923794712286,0.041990668740279936,0.0636328067722099,0.06596267364977561,2,False,4,0.95,0.06,0.8251302522335521
643,0.03215,5238,65,26,81,0.12597200622083982,0.03110419906687403,0.1957421133642527,0.3041909312844697,5,False,4,0.95,0.08,0.8251302522335521
643,0.03215,5808,48,19,81,0.12597200622083982,0.02332814930015552,0.1957421133642527,0.28786106031963704,4,False,4,0.95,0.1,0.8251302522335521
2925,0.14625,25887,215,30,115,0.039316239316239315,0.010256410256410256,0.09253349244730358,0.14045440270608237,6,False,5,0.8,0.04,0.8068617416572086
2925,0.14625,28142,171,34,137,0.046837606837606835,0.0071794871794871795,0.14729031960286312,0.2819869880270498,7,False,5,0.8,0.06,0.8068617416572086
2925,0.14625,30752,114,33,225,0.07692307692307693,0.0041025641025641026,0.1947937488007979,0.2678362982580009,6,False,5,0.8,0.08,0.8068617416572086
2925,0.14625,32856,70,33,343,0.11726495726495727,0.0013675213675213675,0.3667825270436168,0.5442408657088801,8,False,5,0.8,0.1,0.8068617416572086
1948,0.0974,15515,175,34,54,0.027720739219712527,0.013347022587268994,0.033226792684260036,0.03716845899088356,3,False,5,0.85,0.04,0.8068617416572086
1948,0.0974,17492,138,36,95,0.048767967145790556,0.010780287474332649,0.19639588363445795,0.2433438396567097,6,False,5,0.85,0.06,0.8068617416572086
